Site Name ,AZ2
Site Number ,123
Logger ,Integrating Light Sensor
Logger Serial Number ,7922


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

138,21/05/2022 , 01:00:00,16,16
139,21/05/2022 , 01:15:00,11,11
140,21/05/2022 , 01:30:00,8,8
141,21/05/2022 , 01:45:00,6,6
142,21/05/2022 , 02:00:00,7,7
143,21/05/2022 , 02:15:00,7,7
144,21/05/2022 , 02:30:00,10,10
145,21/05/2022 , 02:45:00,13,13
146,21/05/2022 , 03:00:00,22,22
147,21/05/2022 , 03:15:00,37,37
148,21/05/2022 , 03:30:00,67,67
149,21/05/2022 , 03:45:00,116,116
150,21/05/2022 , 04:00:00,202,202
151,21/05/2022 , 04:15:00,370,370
152,21/05/2022 , 04:30:00,593,593
153,21/05/2022 , 04:45:00,894,894
154,21/05/2022 , 05:00:00,1230,1230
155,21/05/2022 , 05:15:00,1598,1598
156,21/05/2022 , 05:30:00,1972,1972
157,21/05/2022 , 05:45:00,2792,2792
158,21/05/2022 , 06:00:00,2549,2549
159,21/05/2022 , 06:15:00,2924,2924
160,21/05/2022 , 06:30:00,3235,3235
161,21/05/2022 , 06:45:00,4125,4125
162,21/05/2022 , 07:00:00,11494,11494
163,21/05/2022 , 07:15:00,13197,13197
164,21/05/2022 , 07:30:00,14914,14914
165,21/05/2022 , 07:45:00,16601,16601
166,21/05/2022 , 08:00:00,18279,18279
167,21/05/2022 , 08:15:00,19924,19924
168,21/05/2022 , 08:30:00,21549,21549
169,21/05/2022 , 08:45:00,23160,23160
170,21/05/2022 , 09:00:00,24820,24820
171,21/05/2022 , 09:15:00,26376,26376
172,21/05/2022 , 09:30:00,27934,27934
173,21/05/2022 , 09:45:00,29330,29330
174,21/05/2022 , 10:00:00,30563,30563
175,21/05/2022 , 10:15:00,31622,31622
176,21/05/2022 , 10:30:00,33074,33074
177,21/05/2022 , 10:45:00,34192,34192
178,21/05/2022 , 11:00:00,35526,35526
