Site Name ,EXTRA-FRCH,,,
Site Number ,6,,,
Logger ,Integrating Light Sensor,,,
Logger Serial Number ,11618,,,
,,,,
,,,,
Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,
,,,,
1,11/6/2020, 13:15:00,262,262
2,11/6/2020, 13:30:00,724,724
3,11/6/2020, 13:45:00,1606,1606
4,11/6/2020, 14:00:00,48,48
5,11/6/2020, 14:15:00,0,0
6,11/6/2020, 14:30:00,39453,39453
7,11/6/2020, 14:45:00,45653,45653
8,11/6/2020, 15:00:00,45672,45672
9,11/6/2020, 15:15:00,45345,45345
10,11/6/2020, 15:30:00,44831,44831
11,11/6/2020, 15:45:00,43908,43908
12,11/6/2020, 16:00:00,30367,30367
13,11/6/2020, 16:15:00,24225,24225
14,11/6/2020, 16:30:00,43134,43134
15,11/6/2020, 16:45:00,32048,32048
16,11/6/2020, 17:00:00,30361,30361
17,11/6/2020, 17:15:00,41464,41464
18,11/6/2020, 17:30:00,22255,22255
19,11/6/2020, 17:45:00,18633,18633
20,11/6/2020, 18:00:00,20762,20762
21,11/6/2020, 18:15:00,25211,25211
22,11/6/2020, 18:30:00,25368,25368
23,11/6/2020, 18:45:00,14269,14269
24,11/6/2020, 19:00:00,10950,10950
25,11/6/2020, 19:15:00,9597,9597
26,11/6/2020, 19:30:00,7509,7509
27,11/6/2020, 19:45:00,7343,7343
28,11/6/2020, 20:00:00,6646,6646
29,11/6/2020, 20:15:00,5919,5919
30,11/6/2020, 20:30:00,7851,7851
31,11/6/2020, 20:45:00,4587,4587
32,11/6/2020, 21:00:00,4468,4468
33,11/6/2020, 21:15:00,4560,4560
34,11/6/2020, 21:30:00,4465,4465
35,11/6/2020, 21:45:00,4049,4049
36,11/6/2020, 22:00:00,3485,3485
37,11/6/2020, 22:15:00,2818,2818
38,11/6/2020, 22:30:00,2057,2057
39,11/6/2020, 22:45:00,1660,1660
40,11/6/2020, 23:00:00,1421,1421
41,11/6/2020, 23:15:00,1207,1207
42,11/6/2020, 23:30:00,1019,1019
43,11/6/2020, 23:45:00,790,790
44,11/6/2020, 24:00:00,555,555
45,12/6/2020, 00:15:00,398,398
46,12/6/2020, 00:30:00,284,284
47,12/6/2020, 00:45:00,206,206
48,12/6/2020, 01:00:00,154,154
49,12/6/2020, 01:15:00,121,121
50,12/6/2020, 01:30:00,103,103
51,12/6/2020, 01:45:00,99,99
52,12/6/2020, 02:00:00,99,99
53,12/6/2020, 02:15:00,102,102
54,12/6/2020, 02:30:00,116,116
55,12/6/2020, 02:45:00,141,141
56,12/6/2020, 03:00:00,186,186
57,12/6/2020, 03:15:00,255,255
58,12/6/2020, 03:30:00,353,353
59,12/6/2020, 03:45:00,483,483
60,12/6/2020, 04:00:00,646,646
61,12/6/2020, 04:15:00,853,853
62,12/6/2020, 04:30:00,1134,1134
63,12/6/2020, 04:45:00,1515,1515
64,12/6/2020, 05:00:00,1954,1954
65,12/6/2020, 05:15:00,2088,2088
66,12/6/2020, 05:30:00,2332,2332
67,12/6/2020, 05:45:00,2829,2829
68,12/6/2020, 06:00:00,2919,2919
69,12/6/2020, 06:15:00,3176,3176
70,12/6/2020, 06:30:00,4223,4223
71,12/6/2020, 06:45:00,5324,5324
72,12/6/2020, 07:00:00,4458,4458
73,12/6/2020, 07:15:00,5422,5422
74,12/6/2020, 07:30:00,8539,8539
75,12/6/2020, 07:45:00,10951,10951
76,12/6/2020, 08:00:00,12100,12100
77,12/6/2020, 08:15:00,15617,15617
78,12/6/2020, 08:30:00,22700,22700
79,12/6/2020, 08:45:00,23415,23415
80,12/6/2020, 09:00:00,21405,21405
81,12/6/2020, 09:15:00,40862,40862
82,12/6/2020, 09:30:00,36402,36402
83,12/6/2020, 09:45:00,39181,39181
84,12/6/2020, 10:00:00,37045,37045
85,12/6/2020, 10:15:00,32923,32923
86,12/6/2020, 10:30:00,37053,37053
87,12/6/2020, 10:45:00,38059,38059
88,12/6/2020, 11:00:00,34098,34098
89,12/6/2020, 11:15:00,31356,31356
90,12/6/2020, 11:30:00,31923,31923
91,12/6/2020, 11:45:00,37795,37795
92,12/6/2020, 12:00:00,31041,31041
93,12/6/2020, 12:15:00,36011,36011
94,12/6/2020, 12:30:00,42651,42651
95,12/6/2020, 12:45:00,46722,46722
96,12/6/2020, 13:00:00,49609,49609
97,12/6/2020, 13:15:00,49264,49264
98,12/6/2020, 13:30:00,47123,47123
99,12/6/2020, 13:45:00,37970,37970
100,12/6/2020, 14:00:00,35151,35151
101,12/6/2020, 14:15:00,34944,34944
102,12/6/2020, 14:30:00,36450,36450
103,12/6/2020, 14:45:00,32353,32353
104,12/6/2020, 15:00:00,26263,26263
105,12/6/2020, 15:15:00,26542,26542
106,12/6/2020, 15:30:00,26010,26010
107,12/6/2020, 15:45:00,23207,23207
108,12/6/2020, 16:00:00,22781,22781
109,12/6/2020, 16:15:00,23836,23836
110,12/6/2020, 16:30:00,27517,27517
111,12/6/2020, 16:45:00,20587,20587
112,12/6/2020, 17:00:00,20048,20048
113,12/6/2020, 17:15:00,20043,20043
114,12/6/2020, 17:30:00,28297,28297
115,12/6/2020, 17:45:00,22355,22355
116,12/6/2020, 18:00:00,25297,25297
117,12/6/2020, 18:15:00,25065,25065
118,12/6/2020, 18:30:00,26304,26304
119,12/6/2020, 18:45:00,24539,24539
120,12/6/2020, 19:00:00,22824,22824
121,12/6/2020, 19:15:00,20524,20524
122,12/6/2020, 19:30:00,20173,20173
123,12/6/2020, 19:45:00,22715,22715
124,12/6/2020, 20:00:00,20135,20135
125,12/6/2020, 20:15:00,15483,15483
126,12/6/2020, 20:30:00,16387,16387
127,12/6/2020, 20:45:00,13855,13855
128,12/6/2020, 21:00:00,11195,11195
129,12/6/2020, 21:15:00,8261,8261
130,12/6/2020, 21:30:00,3357,3357
131,12/6/2020, 21:45:00,3998,3998
132,12/6/2020, 22:00:00,4005,4005
133,12/6/2020, 22:15:00,3116,3116
134,12/6/2020, 22:30:00,2912,2912
135,12/6/2020, 22:45:00,2418,2418
136,12/6/2020, 23:00:00,2033,2033
137,12/6/2020, 23:15:00,1555,1555
138,12/6/2020, 23:30:00,1219,1219
139,12/6/2020, 23:45:00,839,839
140,12/6/2020, 24:00:00,596,596
141,13/06/2020 , 00:15:00,514,514
142,13/06/2020 , 00:30:00,422,422
143,13/06/2020 , 00:45:00,335,335
144,13/06/2020 , 01:00:00,282,282
145,13/06/2020 , 01:15:00,202,202
146,13/06/2020 , 01:30:00,139,139
147,13/06/2020 , 01:45:00,95,95
148,13/06/2020 , 02:00:00,91,91
149,13/06/2020 , 02:15:00,106,106
150,13/06/2020 , 02:30:00,115,115
151,13/06/2020 , 02:45:00,142,142
152,13/06/2020 , 03:00:00,190,190
153,13/06/2020 , 03:15:00,260,260
154,13/06/2020 , 03:30:00,371,371
155,13/06/2020 , 03:45:00,544,544
156,13/06/2020 , 04:00:00,793,793
157,13/06/2020 , 04:15:00,1034,1034
158,13/06/2020 , 04:30:00,1378,1378
159,13/06/2020 , 04:45:00,1637,1637
160,13/06/2020 , 05:00:00,1810,1810
161,13/06/2020 , 05:15:00,2370,2370
162,13/06/2020 , 05:30:00,3887,3887
163,13/06/2020 , 05:45:00,4973,4973
164,13/06/2020 , 06:00:00,5051,5051
165,13/06/2020 , 06:15:00,6200,6200
166,13/06/2020 , 06:30:00,7518,7518
167,13/06/2020 , 06:45:00,6174,6174
168,13/06/2020 , 07:00:00,7747,7747
169,13/06/2020 , 07:15:00,14161,14161
170,13/06/2020 , 07:30:00,16588,16588
171,13/06/2020 , 07:45:00,18270,18270
172,13/06/2020 , 08:00:00,20272,20272
173,13/06/2020 , 08:15:00,21566,21566
174,13/06/2020 , 08:30:00,20738,20738
175,13/06/2020 , 08:45:00,14812,14812
176,13/06/2020 , 09:00:00,14043,14043
177,13/06/2020 , 09:15:00,21105,21105
178,13/06/2020 , 09:30:00,27968,27968
179,13/06/2020 , 09:45:00,33874,33874
180,13/06/2020 , 10:00:00,20021,20021
181,13/06/2020 , 10:15:00,28399,28399
182,13/06/2020 , 10:30:00,25468,25468
183,13/06/2020 , 10:45:00,23037,23037
184,13/06/2020 , 11:00:00,35350,35350
185,13/06/2020 , 11:15:00,23803,23803
186,13/06/2020 , 11:30:00,21356,21356
187,13/06/2020 , 11:45:00,16425,16425
188,13/06/2020 , 12:00:00,19845,19845
189,13/06/2020 , 12:15:00,20630,20630
190,13/06/2020 , 12:30:00,17547,17547
191,13/06/2020 , 12:45:00,18065,18065
192,13/06/2020 , 13:00:00,46343,46343
193,13/06/2020 , 13:15:00,48372,48372
194,13/06/2020 , 13:30:00,42728,42728
195,13/06/2020 , 13:45:00,49831,49831
196,13/06/2020 , 14:00:00,47284,47284
197,13/06/2020 , 14:15:00,47450,47450
198,13/06/2020 , 14:30:00,47418,47418
199,13/06/2020 , 14:45:00,47264,47264
200,13/06/2020 , 15:00:00,46704,46704
201,13/06/2020 , 15:15:00,46188,46188
202,13/06/2020 , 15:30:00,46663,46663
203,13/06/2020 , 15:45:00,49213,49213
204,13/06/2020 , 16:00:00,52599,52599
205,13/06/2020 , 16:15:00,23473,23473
206,13/06/2020 , 16:30:00,2224,2224
207,13/06/2020 , 16:45:00,444,444
208,13/06/2020 , 17:00:00,432,432
209,13/06/2020 , 17:15:00,993,993
210,13/06/2020 , 17:30:00,2423,2423
211,13/06/2020 , 17:45:00,4368,4368
212,13/06/2020 , 18:00:00,6514,6514
213,13/06/2020 , 18:15:00,12789,12789
214,13/06/2020 , 18:30:00,18708,18708
215,13/06/2020 , 18:45:00,21334,21334
216,13/06/2020 , 19:00:00,22061,22061
217,13/06/2020 , 19:15:00,13362,13362
218,13/06/2020 , 19:30:00,18330,18330
219,13/06/2020 , 19:45:00,14263,14263
220,13/06/2020 , 20:00:00,14128,14128
221,13/06/2020 , 20:15:00,17203,17203
222,13/06/2020 , 20:30:00,13556,13556
223,13/06/2020 , 20:45:00,13054,13054
224,13/06/2020 , 21:00:00,11845,11845
225,13/06/2020 , 21:15:00,7196,7196
226,13/06/2020 , 21:30:00,3678,3678
227,13/06/2020 , 21:45:00,2904,2904
228,13/06/2020 , 22:00:00,2408,2408
229,13/06/2020 , 22:15:00,2299,2299
230,13/06/2020 , 22:30:00,2045,2045
231,13/06/2020 , 22:45:00,1708,1708
232,13/06/2020 , 23:00:00,1472,1472
233,13/06/2020 , 23:15:00,1169,1169
234,13/06/2020 , 23:30:00,916,916
235,13/06/2020 , 23:45:00,687,687
236,13/06/2020 , 24:00:00,465,465
237,14/06/2020 , 00:15:00,307,307
238,14/06/2020 , 00:30:00,197,197
239,14/06/2020 , 00:45:00,139,139
240,14/06/2020 , 01:00:00,112,112
241,14/06/2020 , 01:15:00,89,89
242,14/06/2020 , 01:30:00,68,68
243,14/06/2020 , 01:45:00,69,69
244,14/06/2020 , 02:00:00,76,76
245,14/06/2020 , 02:15:00,85,85
246,14/06/2020 , 02:30:00,103,103
247,14/06/2020 , 02:45:00,130,130
248,14/06/2020 , 03:00:00,168,168
249,14/06/2020 , 03:15:00,219,219
250,14/06/2020 , 03:30:00,249,249
251,14/06/2020 , 03:45:00,328,328
252,14/06/2020 , 04:00:00,537,537
253,14/06/2020 , 04:15:00,792,792
254,14/06/2020 , 04:30:00,1115,1115
255,14/06/2020 , 04:45:00,1606,1606
256,14/06/2020 , 05:00:00,2169,2169
257,14/06/2020 , 05:15:00,2555,2555
258,14/06/2020 , 05:30:00,2810,2810
259,14/06/2020 , 05:45:00,2776,2776
260,14/06/2020 , 06:00:00,3402,3402
261,14/06/2020 , 06:15:00,5428,5428
262,14/06/2020 , 06:30:00,4505,4505
263,14/06/2020 , 06:45:00,4327,4327
264,14/06/2020 , 07:00:00,4471,4471
265,14/06/2020 , 07:15:00,5995,5995
266,14/06/2020 , 07:30:00,8579,8579
267,14/06/2020 , 07:45:00,8514,8514
268,14/06/2020 , 08:00:00,9225,9225
269,14/06/2020 , 08:15:00,15457,15457
270,14/06/2020 , 08:30:00,16556,16556
271,14/06/2020 , 08:45:00,11256,11256
272,14/06/2020 , 09:00:00,8168,8168
273,14/06/2020 , 09:15:00,5150,5150
274,14/06/2020 , 09:30:00,2366,2366
275,14/06/2020 , 09:45:00,1652,1652
276,14/06/2020 , 10:00:00,1511,1511
277,14/06/2020 , 10:15:00,936,936
278,14/06/2020 , 10:30:00,787,787
279,14/06/2020 , 10:45:00,1067,1067
280,14/06/2020 , 11:00:00,1291,1291
281,14/06/2020 , 11:15:00,1541,1541
282,14/06/2020 , 11:30:00,2192,2192
283,14/06/2020 , 11:45:00,2613,2613
284,14/06/2020 , 12:00:00,2667,2667
285,14/06/2020 , 12:15:00,3360,3360
286,14/06/2020 , 12:30:00,5314,5314
287,14/06/2020 , 12:45:00,8094,8094
288,14/06/2020 , 13:00:00,12245,12245
289,14/06/2020 , 13:15:00,18838,18838
290,14/06/2020 , 13:30:00,17470,17470
291,14/06/2020 , 13:45:00,18485,18485
292,14/06/2020 , 14:00:00,18100,18100
293,14/06/2020 , 14:15:00,22003,22003
294,14/06/2020 , 14:30:00,32445,32445
295,14/06/2020 , 14:45:00,41260,41260
296,14/06/2020 , 15:00:00,39073,39073
297,14/06/2020 , 15:15:00,38954,38954
298,14/06/2020 , 15:30:00,38377,38377
299,14/06/2020 , 15:45:00,34725,34725
300,14/06/2020 , 16:00:00,40429,40429
301,14/06/2020 , 16:15:00,40965,40965
302,14/06/2020 , 16:30:00,41385,41385
303,14/06/2020 , 16:45:00,41346,41346
304,14/06/2020 , 17:00:00,40412,40412
305,14/06/2020 , 17:15:00,38987,38987
306,14/06/2020 , 17:30:00,37564,37564
307,14/06/2020 , 17:45:00,36130,36130
308,14/06/2020 , 18:00:00,34632,34632
309,14/06/2020 , 18:15:00,33096,33096
310,14/06/2020 , 18:30:00,31502,31502
311,14/06/2020 , 18:45:00,29797,29797
312,14/06/2020 , 19:00:00,28100,28100
313,14/06/2020 , 19:15:00,26354,26354
314,14/06/2020 , 19:30:00,24575,24575
315,14/06/2020 , 19:45:00,22778,22778
316,14/06/2020 , 20:00:00,21011,21011
317,14/06/2020 , 20:15:00,15828,15828
318,14/06/2020 , 20:30:00,17203,17203
319,14/06/2020 , 20:45:00,14870,14870
320,14/06/2020 , 21:00:00,12223,12223
321,14/06/2020 , 21:15:00,9043,9043
322,14/06/2020 , 21:30:00,2784,2784
323,14/06/2020 , 21:45:00,3598,3598
324,14/06/2020 , 22:00:00,3681,3681
325,14/06/2020 , 22:15:00,2493,2493
326,14/06/2020 , 22:30:00,2179,2179
327,14/06/2020 , 22:45:00,2024,2024
328,14/06/2020 , 23:00:00,2091,2091
329,14/06/2020 , 23:15:00,2052,2052
330,14/06/2020 , 23:30:00,1434,1434
331,14/06/2020 , 23:45:00,888,888
332,14/06/2020 , 24:00:00,596,596
333,15/06/2020 , 00:15:00,370,370
334,15/06/2020 , 00:30:00,281,281
335,15/06/2020 , 00:45:00,248,248
336,15/06/2020 , 01:00:00,207,207
337,15/06/2020 , 01:15:00,144,144
338,15/06/2020 , 01:30:00,107,107
339,15/06/2020 , 01:45:00,93,93
340,15/06/2020 , 02:00:00,98,98
341,15/06/2020 , 02:15:00,118,118
342,15/06/2020 , 02:30:00,152,152
343,15/06/2020 , 02:45:00,198,198
344,15/06/2020 , 03:00:00,238,238
345,15/06/2020 , 03:15:00,272,272
346,15/06/2020 , 03:30:00,250,250
347,15/06/2020 , 03:45:00,261,261
348,15/06/2020 , 04:00:00,256,256
349,15/06/2020 , 04:15:00,321,321
350,15/06/2020 , 04:30:00,433,433
351,15/06/2020 , 04:45:00,560,560
352,15/06/2020 , 05:00:00,707,707
353,15/06/2020 , 05:15:00,849,849
354,15/06/2020 , 05:30:00,1119,1119
355,15/06/2020 , 05:45:00,1989,1989
356,15/06/2020 , 06:00:00,1571,1571
357,15/06/2020 , 06:15:00,1958,1958
358,15/06/2020 , 06:30:00,1884,1884
359,15/06/2020 , 06:45:00,2486,2486
360,15/06/2020 , 07:00:00,4021,4021
361,15/06/2020 , 07:15:00,5866,5866
362,15/06/2020 , 07:30:00,5944,5944
363,15/06/2020 , 07:45:00,5922,5922
364,15/06/2020 , 08:00:00,6446,6446
365,15/06/2020 , 08:15:00,8809,8809
366,15/06/2020 , 08:30:00,10697,10697
367,15/06/2020 , 08:45:00,15871,15871
368,15/06/2020 , 09:00:00,16379,16379
369,15/06/2020 , 09:15:00,19694,19694
370,15/06/2020 , 09:30:00,27796,27796
371,15/06/2020 , 09:45:00,27142,27142
372,15/06/2020 , 10:00:00,24466,24466
373,15/06/2020 , 10:15:00,20145,20145
374,15/06/2020 , 10:30:00,17263,17263
375,15/06/2020 , 10:45:00,20659,20659
376,15/06/2020 , 11:00:00,18953,18953
377,15/06/2020 , 11:15:00,35759,35759
378,15/06/2020 , 11:30:00,47978,47978
379,15/06/2020 , 11:45:00,46927,46927
380,15/06/2020 , 12:00:00,45795,45795
381,15/06/2020 , 12:15:00,41561,41561
382,15/06/2020 , 12:30:00,35860,35860
383,15/06/2020 , 12:45:00,35015,35015
384,15/06/2020 , 13:00:00,15367,15367
385,15/06/2020 , 13:15:00,13145,13145
386,15/06/2020 , 13:30:00,18314,18314
387,15/06/2020 , 13:45:00,23979,23979
388,15/06/2020 , 14:00:00,28847,28847
389,15/06/2020 , 14:15:00,44777,44777
390,15/06/2020 , 14:30:00,45520,45520
391,15/06/2020 , 14:45:00,46405,46405
392,15/06/2020 , 15:00:00,47272,47272
393,15/06/2020 , 15:15:00,32576,32576
394,15/06/2020 , 15:30:00,45574,45574
395,15/06/2020 , 15:45:00,48991,48991
396,15/06/2020 , 16:00:00,50788,50788
397,15/06/2020 , 16:15:00,25838,25838
398,15/06/2020 , 16:30:00,12409,12409
399,15/06/2020 , 16:45:00,9700,9700
400,15/06/2020 , 17:00:00,12736,12736
401,15/06/2020 , 17:15:00,9050,9050
402,15/06/2020 , 17:30:00,3789,3789
403,15/06/2020 , 17:45:00,2630,2630
404,15/06/2020 , 18:00:00,1902,1902
405,15/06/2020 , 18:15:00,3469,3469
406,15/06/2020 , 18:30:00,3262,3262
407,15/06/2020 , 18:45:00,3746,3746
408,15/06/2020 , 19:00:00,5379,5379
409,15/06/2020 , 19:15:00,6929,6929
410,15/06/2020 , 19:30:00,7344,7344
411,15/06/2020 , 19:45:00,7015,7015
412,15/06/2020 , 20:00:00,5962,5962
413,15/06/2020 , 20:15:00,5668,5668
414,15/06/2020 , 20:30:00,4398,4398
415,15/06/2020 , 20:45:00,3459,3459
416,15/06/2020 , 21:00:00,3842,3842
417,15/06/2020 , 21:15:00,3299,3299
418,15/06/2020 , 21:30:00,2695,2695
419,15/06/2020 , 21:45:00,2761,2761
420,15/06/2020 , 22:00:00,2292,2292
421,15/06/2020 , 22:15:00,1660,1660
422,15/06/2020 , 22:30:00,1777,1777
423,15/06/2020 , 22:45:00,1484,1484
424,15/06/2020 , 23:00:00,931,931
425,15/06/2020 , 23:15:00,846,846
426,15/06/2020 , 23:30:00,698,698
427,15/06/2020 , 23:45:00,420,420
428,15/06/2020 , 24:00:00,288,288
429,16/06/2020 , 00:15:00,179,179
430,16/06/2020 , 00:30:00,135,135
431,16/06/2020 , 00:45:00,114,114
432,16/06/2020 , 01:00:00,92,92
433,16/06/2020 , 01:15:00,74,74
434,16/06/2020 , 01:30:00,64,64
435,16/06/2020 , 01:45:00,60,60
436,16/06/2020 , 02:00:00,64,64
437,16/06/2020 , 02:15:00,66,66
438,16/06/2020 , 02:30:00,69,69
439,16/06/2020 , 02:45:00,81,81
440,16/06/2020 , 03:00:00,100,100
441,16/06/2020 , 03:15:00,124,124
442,16/06/2020 , 03:30:00,149,149
443,16/06/2020 , 03:45:00,192,192
444,16/06/2020 , 04:00:00,224,224
445,16/06/2020 , 04:15:00,277,277
446,16/06/2020 , 04:30:00,394,394
447,16/06/2020 , 04:45:00,520,520
448,16/06/2020 , 05:00:00,646,646
449,16/06/2020 , 05:15:00,804,804
450,16/06/2020 , 05:30:00,868,868
451,16/06/2020 , 05:45:00,1493,1493
452,16/06/2020 , 06:00:00,2246,2246
453,16/06/2020 , 06:15:00,4075,4075
454,16/06/2020 , 06:30:00,4146,4146
455,16/06/2020 , 06:45:00,3270,3270
456,16/06/2020 , 07:00:00,4249,4249
457,16/06/2020 , 07:15:00,8625,8625
458,16/06/2020 , 07:30:00,14024,14024
459,16/06/2020 , 07:45:00,14636,14636
460,16/06/2020 , 08:00:00,15482,15482
461,16/06/2020 , 08:15:00,16233,16233
462,16/06/2020 , 08:30:00,18837,18837
463,16/06/2020 , 08:45:00,12991,12991
464,16/06/2020 , 09:00:00,9107,9107
465,16/06/2020 , 09:15:00,22459,22459
466,16/06/2020 , 09:30:00,24328,24328
467,16/06/2020 , 09:45:00,25976,25976
468,16/06/2020 , 10:00:00,28544,28544
469,16/06/2020 , 10:15:00,28855,28855
470,16/06/2020 , 10:30:00,33833,33833
471,16/06/2020 , 10:45:00,36769,36769
472,16/06/2020 , 11:00:00,39074,39074
473,16/06/2020 , 11:15:00,40071,40071
474,16/06/2020 , 11:30:00,40249,40249
475,16/06/2020 , 11:45:00,29525,29525
476,16/06/2020 , 12:00:00,43575,43575
477,16/06/2020 , 12:15:00,44094,44094
478,16/06/2020 , 12:30:00,39259,39259
479,16/06/2020 , 12:45:00,43956,43956
480,16/06/2020 , 13:00:00,28269,28269
481,16/06/2020 , 13:15:00,37783,37783
482,16/06/2020 , 13:30:00,38767,38767
483,16/06/2020 , 13:45:00,27957,27957
484,16/06/2020 , 14:00:00,36944,36944
485,16/06/2020 , 14:15:00,47203,47203
486,16/06/2020 , 14:30:00,35275,35275
487,16/06/2020 , 14:45:00,24736,24736
488,16/06/2020 , 15:00:00,46286,46286
489,16/06/2020 , 15:15:00,34341,34341
490,16/06/2020 , 15:30:00,20520,20520
491,16/06/2020 , 15:45:00,14092,14092
492,16/06/2020 , 16:00:00,28768,28768
493,16/06/2020 , 16:15:00,43362,43362
494,16/06/2020 , 16:30:00,45140,45140
495,16/06/2020 , 16:45:00,24792,24792
496,16/06/2020 , 17:00:00,22226,22226
497,16/06/2020 , 17:15:00,35183,35183
498,16/06/2020 , 17:30:00,33533,33533
499,16/06/2020 , 17:45:00,45942,45942
500,16/06/2020 , 18:00:00,21102,21102
501,16/06/2020 , 18:15:00,40115,40115
502,16/06/2020 , 18:30:00,20035,20035
503,16/06/2020 , 18:45:00,36957,36957
504,16/06/2020 , 19:00:00,29704,29704
505,16/06/2020 , 19:15:00,27543,27543
506,16/06/2020 , 19:30:00,23614,23614
507,16/06/2020 , 19:45:00,7494,7494
508,16/06/2020 , 20:00:00,19955,19955
509,16/06/2020 , 20:15:00,19900,19900
510,16/06/2020 , 20:30:00,16923,16923
511,16/06/2020 , 20:45:00,15645,15645
512,16/06/2020 , 21:00:00,12796,12796
513,16/06/2020 , 21:15:00,9568,9568
514,16/06/2020 , 21:30:00,3006,3006
515,16/06/2020 , 21:45:00,3611,3611
516,16/06/2020 , 22:00:00,3756,3756
517,16/06/2020 , 22:15:00,2344,2344
518,16/06/2020 , 22:30:00,1911,1911
519,16/06/2020 , 22:45:00,1675,1675
520,16/06/2020 , 23:00:00,1460,1460
521,16/06/2020 , 23:15:00,1281,1281
522,16/06/2020 , 23:30:00,1002,1002
523,16/06/2020 , 23:45:00,798,798
524,16/06/2020 , 24:00:00,621,621
525,17/06/2020 , 00:15:00,461,461
526,17/06/2020 , 00:30:00,329,329
527,17/06/2020 , 00:45:00,251,251
528,17/06/2020 , 01:00:00,198,198
529,17/06/2020 , 01:15:00,162,162
530,17/06/2020 , 01:30:00,140,140
531,17/06/2020 , 01:45:00,128,128
532,17/06/2020 , 02:00:00,125,125
533,17/06/2020 , 02:15:00,126,126
534,17/06/2020 , 02:30:00,139,139
535,17/06/2020 , 02:45:00,162,162
536,17/06/2020 , 03:00:00,201,201
537,17/06/2020 , 03:15:00,289,289
538,17/06/2020 , 03:30:00,376,376
539,17/06/2020 , 03:45:00,486,486
540,17/06/2020 , 04:00:00,705,705
541,17/06/2020 , 04:15:00,859,859
542,17/06/2020 , 04:30:00,868,868
543,17/06/2020 , 04:45:00,1348,1348
544,17/06/2020 , 05:00:00,1727,1727
545,17/06/2020 , 05:15:00,2030,2030
546,17/06/2020 , 05:30:00,2713,2713
547,17/06/2020 , 05:45:00,4122,4122
548,17/06/2020 , 06:00:00,5572,5572
549,17/06/2020 , 06:15:00,6485,6485
550,17/06/2020 , 06:30:00,6134,6134
551,17/06/2020 , 06:45:00,4170,4170
552,17/06/2020 , 07:00:00,6816,6816
553,17/06/2020 , 07:15:00,12762,12762
554,17/06/2020 , 07:30:00,16401,16401
555,17/06/2020 , 07:45:00,18128,18128
556,17/06/2020 , 08:00:00,19875,19875
557,17/06/2020 , 08:15:00,21539,21539
558,17/06/2020 , 08:30:00,23213,23213
559,17/06/2020 , 08:45:00,16806,16806
560,17/06/2020 , 09:00:00,9511,9511
561,17/06/2020 , 09:15:00,28452,28452
562,17/06/2020 , 09:30:00,30410,30410
563,17/06/2020 , 09:45:00,31978,31978
564,17/06/2020 , 10:00:00,33830,33830
565,17/06/2020 , 10:15:00,33030,33030
566,17/06/2020 , 10:30:00,36531,36531
567,17/06/2020 , 10:45:00,37668,37668
568,17/06/2020 , 11:00:00,38822,38822
569,17/06/2020 , 11:15:00,40010,40010
570,17/06/2020 , 11:30:00,41276,41276
571,17/06/2020 , 11:45:00,42448,42448
572,17/06/2020 , 12:00:00,43913,43913
573,17/06/2020 , 12:15:00,44819,44819
574,17/06/2020 , 12:30:00,45395,45395
575,17/06/2020 , 12:45:00,46236,46236
576,17/06/2020 , 13:00:00,46379,46379
577,17/06/2020 , 13:15:00,47449,47449
578,17/06/2020 , 13:30:00,42659,42659
579,17/06/2020 , 13:45:00,39357,39357
580,17/06/2020 , 14:00:00,49788,49788
581,17/06/2020 , 14:15:00,49888,49888
582,17/06/2020 , 14:30:00,28389,28389
583,17/06/2020 , 14:45:00,30287,30287
584,17/06/2020 , 15:00:00,12762,12762
585,17/06/2020 , 15:15:00,11670,11670
586,17/06/2020 , 15:30:00,19338,19338
587,17/06/2020 , 15:45:00,15073,15073
588,17/06/2020 , 16:00:00,14768,14768
589,17/06/2020 , 16:15:00,16913,16913
590,17/06/2020 , 16:30:00,19569,19569
591,17/06/2020 , 16:45:00,35880,35880
592,17/06/2020 , 17:00:00,27362,27362
593,17/06/2020 , 17:15:00,20494,20494
594,17/06/2020 , 17:30:00,16939,16939
595,17/06/2020 , 17:45:00,15043,15043
596,17/06/2020 , 18:00:00,18989,18989
597,17/06/2020 , 18:15:00,17758,17758
598,17/06/2020 , 18:30:00,28861,28861
599,17/06/2020 , 18:45:00,17289,17289
600,17/06/2020 , 19:00:00,9585,9585
601,17/06/2020 , 19:15:00,8802,8802
602,17/06/2020 , 19:30:00,7795,7795
603,17/06/2020 , 19:45:00,7994,7994
604,17/06/2020 , 20:00:00,9819,9819
605,17/06/2020 , 20:15:00,6945,6945
606,17/06/2020 , 20:30:00,3664,3664
607,17/06/2020 , 20:45:00,3067,3067
608,17/06/2020 , 21:00:00,3913,3913
609,17/06/2020 , 21:15:00,5101,5101
610,17/06/2020 , 21:30:00,5378,5378
611,17/06/2020 , 21:45:00,4963,4963
612,17/06/2020 , 22:00:00,4052,4052
613,17/06/2020 , 22:15:00,2998,2998
614,17/06/2020 , 22:30:00,2824,2824
615,17/06/2020 , 22:45:00,1991,1991
616,17/06/2020 , 23:00:00,1795,1795
617,17/06/2020 , 23:15:00,1685,1685
618,17/06/2020 , 23:30:00,1227,1227
619,17/06/2020 , 23:45:00,877,877
620,17/06/2020 , 24:00:00,666,666
621,18/06/2020 , 00:15:00,514,514
