"","solar.time","depth","DO.obs","DO.sat","temp.water","light","discharge"
"1037",2021-05-18 10:13:54,9.28,11.89,12.0035620925293,5.3781,1538.75704563649,144.980886308934
"1038",2021-05-18 10:28:54,9.27,11.8881818181818,12.0183843010306,5.39127272727273,1563.70472333531,144.41455472179
"1040",2021-05-18 10:58:54,9.26,11.8845454545455,11.9429246564048,5.56745454545455,1602.20993495624,143.848223134645
"1041",2021-05-18 11:13:54,9.24,11.8754545454545,11.8963515532093,5.60927272727273,1615.60259234539,142.715559960357
"1042",2021-05-18 11:28:54,9.25,11.8672727272727,11.8830901278523,5.68172727272727,1625.0065446346,143.281891547501
"1043",2021-05-18 11:43:54,9.25,11.8672727272727,11.8943425507668,5.73518181818182,1630.38152522055,143.281891547501
"1046",2021-05-18 12:28:54,9.26,11.85,11.8540201231701,5.91790909090909,1622.18926664109,143.848223134645
"1047",2021-05-18 12:43:54,9.25,11.85,11.8742924146059,5.98654545454546,1611.39176523465,143.281891547501
"1048",2021-05-18 12:58:54,9.29,11.85,11.8735563693878,6.04245454545455,1596.62359416338,145.547217896078
"1050",2021-05-18 13:28:54,9.25,11.83,11.8672549317594,6.07572727272727,1555.44492468653,143.281891547501
"1051",2021-05-18 13:43:54,9.26,11.8272727272727,11.8851229153656,6.115,1529.21075332122,143.848223134645
"1052",2021-05-18 13:58:54,9.27,11.8172727272727,11.8664402108814,6.18536363636364,1499.35781133003,144.41455472179
"1053",2021-05-18 14:13:54,9.27,11.8036363636364,11.8427734127357,6.26845454545455,1466.01392855432,144.41455472179
"1056",2021-05-18 14:58:54,9.27,11.7636363636364,11.7784277457827,6.52590909090909,1346.53542462969,144.41455472179
"1057",2021-05-18 15:13:54,9.28,11.7518181818182,11.7747114982372,6.555,1300.79550151397,144.980886308934
"1058",2021-05-18 15:28:54,9.3,11.74,11.7509637384376,6.594,1252.41487636885,146.113549483222
"1059",2021-05-18 15:43:54,9.28,11.73,11.7327760670141,6.69718181818182,1201.60071350285,144.980886308934
"1061",2021-05-18 16:13:54,9.32,11.71,11.6760715017003,6.84090909090909,1093.55160111677,147.246212657511
"1062",2021-05-18 16:28:54,9.29,11.7,11.6319948171464,6.863,1036.77931395673,145.547217896078
"1063",2021-05-18 16:43:54,9.29,11.7063636363636,11.6493803703262,6.87,978.496832605315,145.547217896078
"1064",2021-05-18 16:58:54,9.28,11.6981818181818,11.681819795264,6.86281818181818,918.953720272046,144.980886308934
"1065",2021-05-18 17:13:54,9.31,11.6954545454545,11.660449789255,6.857,858.404938062853,146.679881070367
"1066",2021-05-18 17:28:54,9.32,11.6836363636364,11.6379122809643,6.851,797.109753181507,147.246212657511
"1067",2021-05-18 17:43:54,9.32,11.6745454545455,11.6360143040746,6.845,735.330628869619,147.246212657511
"1070",2021-05-18 18:28:54,9.33,11.65,11.602353218495,6.848,549.738532760257,147.812544244655
"1071",2021-05-18 18:43:54,9.33,11.65,11.5742468518971,6.857,488.672714927042,147.812544244655
"1072",2021-05-18 18:58:54,9.34,11.6345454545455,11.5460930122585,6.862,428.443669787099,148.3788758318
"1073",2021-05-18 19:13:54,9.32,11.6354545454545,11.5239627570614,6.86718181818182,369.309294850781,147.246212657511
"1074",2021-05-18 19:28:54,9.34,11.6245454545455,11.5025812928079,6.874,311.522800222149,148.3788758318
"1076",2021-05-18 19:58:54,9.35,11.6154545454545,11.4625993192034,6.878,200.97637472414,148.945207418944
"1078",2021-05-18 20:28:54,9.37,11.6036363636364,11.4369100020616,6.849,98.6957793818578,150.077870593232
"1079",2021-05-18 20:43:54,9.35,11.6072727272727,11.4288395250358,6.822,51.2083928058358,148.945207418944
"1080",2021-05-18 20:58:54,9.35,11.61,11.4216670899258,6.79181818181818,6.43097523579693,148.945207418944
"1083",2021-05-18 21:43:54,9.38,11.6,11.39655918151,6.688,0,150.644202180377
"1085",2021-05-18 22:13:54,9.38,11.61,11.4001820263636,6.61563636363636,0,150.644202180377
"1086",2021-05-18 22:28:54,9.34,11.6,11.4123738659267,6.57736363636364,0,148.3788758318
"1087",2021-05-18 22:43:54,9.39,11.6018181818182,11.4233887748213,6.539,0,151.210533767521
"1088",2021-05-18 22:58:54,9.37,11.61,11.4333543075629,6.50009090909091,0,150.077870593232
"1090",2021-05-18 23:28:54,9.36,11.62,11.4344232965247,6.407,0,149.511539006088
"1092",2021-05-18 23:58:54,9.35,11.6318181818182,11.4402690746694,6.29309090909091,0,148.945207418944
"1093",2021-05-19 00:13:54,9.37,11.6454545454545,11.4426568749857,6.238,0,150.077870593232
"1095",2021-05-19 00:43:54,9.35,11.67,11.4743646690912,6.11172727272727,0,148.945207418944
"1097",2021-05-19 01:13:54,9.34,11.69,11.5111424727413,5.98990909090909,0,148.3788758318
"1098",2021-05-19 01:28:54,9.35,11.6936363636364,11.5326036858077,5.92936363636364,0,148.945207418944
"1100",2021-05-19 01:58:54,9.32,11.71,11.5800509130059,5.81463636363636,0,147.246212657511
"1101",2021-05-19 02:13:54,9.32,11.7136363636364,11.599672614657,5.76090909090909,0,147.246212657511
"1102",2021-05-19 02:28:54,9.31,11.7290909090909,11.6171216719762,5.71045454545455,0,146.679881070367
"1103",2021-05-19 02:43:54,9.3,11.7354545454545,11.6203237647573,5.666,0,146.113549483222
