"Site","DateTime","PT1","PT2","MeanDischarge"
"POKE",2019-05-10 14:45:00,528.052565167694,NA,528.052565167694
"POKE",2019-05-10 15:00:00,526.489855840286,NA,526.489855840286
"POKE",2019-05-10 15:15:00,517.113599875842,NA,517.113599875842
"POKE",2019-05-10 15:30:00,517.113599875842,NA,517.113599875842
"POKE",2019-05-10 15:45:00,507.737343911398,NA,507.737343911398
"POKE",2019-05-10 16:00:00,483.515349336585,NA,483.515349336585
"POKE",2019-05-10 16:15:00,474.139093372141,NA,474.139093372141
"POKE",2019-05-10 16:30:00,473.357738708437,NA,473.357738708437
"POKE",2019-05-10 16:45:00,470.232320053623,NA,470.232320053623
"POKE",2019-05-10 17:00:00,470.232320053623,NA,470.232320053623
"POKE",2019-05-10 17:15:00,460.856064089179,NA,460.856064089179
"POKE",2019-05-10 17:30:00,462.418773416586,NA,462.418773416586
"POKE",2019-05-10 17:45:00,463.981482743993,NA,463.981482743993
"POKE",2019-05-10 18:00:00,467.106901398808,NA,467.106901398808
"POKE",2019-05-10 18:15:00,467.888256062512,NA,467.888256062512
"POKE",2019-05-10 18:30:00,463.20012808029,NA,463.20012808029
"POKE",2019-05-10 18:45:00,463.981482743993,NA,463.981482743993
"POKE",2019-05-10 19:00:00,462.418773416586,NA,462.418773416586
"POKE",2019-05-10 19:15:00,453.042517452142,NA,453.042517452142
"POKE",2019-05-10 19:30:00,453.823872115846,NA,453.823872115846
"POKE",2019-05-10 19:45:00,453.042517452142,NA,453.042517452142
"POKE",2019-05-10 20:00:00,454.605226779549,NA,454.605226779549
"POKE",2019-05-10 20:15:00,451.479808124735,NA,451.479808124735
"POKE",2019-05-10 20:30:00,452.261162788438,NA,452.261162788438
"POKE",2019-05-10 20:45:00,453.042517452142,NA,453.042517452142
"POKE",2019-05-10 21:00:00,455.386581443253,NA,455.386581443253
"POKE",2019-05-10 21:15:00,456.94929077066,NA,456.94929077066
"POKE",2019-05-10 21:30:00,456.94929077066,NA,456.94929077066
"POKE",2019-05-10 21:45:00,455.386581443253,NA,455.386581443253
"POKE",2019-05-10 22:00:00,458.512000098068,NA,458.512000098068
"POKE",2019-05-10 22:15:00,457.730645434364,NA,457.730645434364
"POKE",2019-05-10 22:30:00,456.94929077066,NA,456.94929077066
"POKE",2019-05-10 22:45:00,457.730645434364,NA,457.730645434364
"POKE",2019-05-10 23:00:00,456.94929077066,NA,456.94929077066
"POKE",2019-05-10 23:15:00,456.167936106957,NA,456.167936106957
"POKE",2019-05-10 23:30:00,461.637418752882,NA,461.637418752882
"POKE",2019-05-10 23:45:00,458.512000098068,NA,458.512000098068
"POKE",2019-05-11 00:00:00,456.167936106957,NA,456.167936106957
"POKE",2019-05-11 00:15:00,459.293354761771,NA,459.293354761771
"POKE",2019-05-11 00:30:00,461.637418752882,NA,461.637418752882
"POKE",2019-05-11 00:45:00,460.074709425475,NA,460.074709425475
"POKE",2019-05-11 01:00:00,459.293354761771,NA,459.293354761771
"POKE",2019-05-11 01:15:00,460.074709425475,NA,460.074709425475
"POKE",2019-05-11 01:30:00,459.293354761771,NA,459.293354761771
"POKE",2019-05-11 01:45:00,456.94929077066,NA,456.94929077066
"POKE",2019-05-11 02:00:00,456.167936106957,NA,456.167936106957
"POKE",2019-05-11 02:15:00,456.94929077066,NA,456.94929077066
"POKE",2019-05-11 02:30:00,454.605226779549,NA,454.605226779549
"POKE",2019-05-11 02:45:00,456.167936106957,NA,456.167936106957
"POKE",2019-05-11 03:00:00,454.605226779549,NA,454.605226779549
"POKE",2019-05-11 03:15:00,451.479808124735,NA,451.479808124735
"POKE",2019-05-11 03:30:00,454.605226779549,NA,454.605226779549
"POKE",2019-05-11 03:45:00,453.042517452142,NA,453.042517452142
"POKE",2019-05-11 04:00:00,453.042517452142,NA,453.042517452142
"POKE",2019-05-11 04:15:00,450.698453461031,NA,450.698453461031
"POKE",2019-05-11 04:30:00,449.917098797328,NA,449.917098797328
"POKE",2019-05-11 04:45:00,449.917098797328,NA,449.917098797328
"POKE",2019-05-11 05:00:00,452.261162788438,NA,452.261162788438
"POKE",2019-05-11 05:15:00,451.479808124735,NA,451.479808124735
"POKE",2019-05-11 05:30:00,450.698453461031,NA,450.698453461031
"POKE",2019-05-11 05:45:00,449.135744133624,NA,449.135744133624
"POKE",2019-05-11 06:00:00,453.042517452142,NA,453.042517452142
"POKE",2019-05-11 06:15:00,452.261162788438,NA,452.261162788438
"POKE",2019-05-11 06:30:00,449.917098797328,NA,449.917098797328
"POKE",2019-05-11 06:45:00,449.917098797328,NA,449.917098797328
"POKE",2019-05-11 07:00:00,446.791680142513,NA,446.791680142513
"POKE",2019-05-11 07:15:00,445.228970815106,NA,445.228970815106
"POKE",2019-05-11 07:30:00,443.666261487698,NA,443.666261487698
"POKE",2019-05-11 07:45:00,441.322197496587,NA,441.322197496587
"POKE",2019-05-11 08:00:00,439.75948816918,NA,439.75948816918
"POKE",2019-05-11 08:15:00,438.978133505476,NA,438.978133505476
"POKE",2019-05-11 08:30:00,431.945941532143,NA,431.945941532143
"POKE",2019-05-11 08:45:00,431.16458686844,NA,431.16458686844
"POKE",2019-05-11 09:00:00,428.039168213625,NA,428.039168213625
"POKE",2019-05-11 09:15:00,428.039168213625,NA,428.039168213625
"POKE",2019-05-11 09:30:00,426.476458886218,NA,426.476458886218
"POKE",2019-05-11 09:45:00,420.225621576588,NA,420.225621576588
"POKE",2019-05-11 10:00:00,417.100202921774,NA,417.100202921774
"POKE",2019-05-11 10:15:00,416.31884825807,NA,416.31884825807
"POKE",2019-05-11 10:30:00,417.100202921774,NA,417.100202921774
"POKE",2019-05-11 10:45:00,410.068010948441,NA,410.068010948441
"POKE",2019-05-11 11:00:00,408.505301621033,NA,408.505301621033
"POKE",2019-05-11 11:15:00,407.72394695733,NA,407.72394695733
"POKE",2019-05-11 11:30:00,408.505301621033,NA,408.505301621033
"POKE",2019-05-11 11:45:00,408.505301621033,NA,408.505301621033
"POKE",2019-05-11 12:00:00,400.691754983997,NA,400.691754983997
"POKE",2019-05-11 12:15:00,399.910400320293,NA,399.910400320293
"POKE",2019-05-11 12:30:00,399.910400320293,NA,399.910400320293
"POKE",2019-05-11 12:45:00,401.473109647701,NA,401.473109647701
"POKE",2019-05-11 13:00:00,400.691754983997,NA,400.691754983997
"POKE",2019-05-11 13:15:00,401.473109647701,NA,401.473109647701
"POKE",2019-05-11 13:30:00,401.473109647701,NA,401.473109647701
"POKE",2019-05-11 13:45:00,401.473109647701,NA,401.473109647701
"POKE",2019-05-11 14:00:00,397.566336329182,NA,397.566336329182
"POKE",2019-05-11 14:15:00,396.784981665479,NA,396.784981665479
"POKE",2019-05-11 14:30:00,398.347690992886,NA,398.347690992886
"POKE",2019-05-11 14:45:00,395.222272338071,NA,395.222272338071
