"Site","DateTime","PT1Q","PT2Q","MeanDischarge"
"FRCH",2019-04-29 14:30:00,156.626882752528,117.46969150344,137.048287127984
"FRCH",2019-04-29 14:45:00,152.905692244648,112.155645721593,132.530668983121
"FRCH",2019-04-29 15:00:00,152.905692244648,113.926994315542,133.416343280095
"FRCH",2019-04-29 15:15:00,152.905692244648,119.24104009739,136.073366171019
"FRCH",2019-04-29 15:30:00,156.626882752528,119.24104009739,137.933961424959
"FRCH",2019-04-29 15:45:00,160.348073260409,119.24104009739,139.794556678899
"FRCH",2019-04-29 16:00:00,156.626882752528,119.24104009739,137.933961424959
"FRCH",2019-04-29 16:15:00,156.626882752528,113.926994315542,135.276938534035
"FRCH",2019-04-29 16:30:00,160.348073260409,126.326434473186,143.337253866797
"FRCH",2019-04-29 16:45:00,164.069263768289,129.869131661084,146.969197714687
"FRCH",2019-04-29 17:00:00,169.651049530109,128.097783067135,148.874416298622
"FRCH",2019-04-29 17:15:00,164.069263768289,135.183177442932,149.62622060561
"FRCH",2019-04-29 17:30:00,173.372240037989,129.869131661084,151.620685849537
"FRCH",2019-04-29 17:45:00,180.81462105375,128.097783067135,154.456202060442
"FRCH",2019-04-29 18:00:00,171.511644784049,117.46969150344,144.490668143745
"FRCH",2019-04-29 18:15:00,158.487478006468,119.24104009739,138.864259051929
"FRCH",2019-04-29 18:30:00,160.348073260409,128.097783067135,144.222928163772
"FRCH",2019-04-29 18:45:00,165.929859022229,121.012388691339,143.471123856784
"FRCH",2019-04-29 19:00:00,158.487478006468,124.555085879237,141.521281942853
"FRCH",2019-04-29 19:15:00,167.790454276169,121.012388691339,144.401421483754
"FRCH",2019-04-29 19:30:00,162.208668514349,119.24104009739,140.724854305869
"FRCH",2019-04-29 19:45:00,164.069263768289,133.411828848982,148.740546308636
"FRCH",2019-04-29 20:00:00,175.23283529193,142.268571818728,158.750703555329
"FRCH",2019-04-29 20:15:00,190.11759732345,144.039920412677,167.078758868064
"FRCH",2019-04-29 20:30:00,188.25700206951,138.72587463083,163.49143835017
"FRCH",2019-04-29 20:45:00,184.53581156163,138.72587463083,161.63084309623
"FRCH",2019-04-29 21:00:00,184.53581156163,145.811269006626,165.173540284128
"FRCH",2019-04-29 21:15:00,184.53581156163,151.125314788473,167.830563175052
"FRCH",2019-04-29 21:30:00,197.559978339211,151.125314788473,174.342646563842
"FRCH",2019-04-29 21:45:00,191.97819257739,151.125314788473,171.551753682932
"FRCH",2019-04-29 22:00:00,191.97819257739,145.811269006626,168.894730792008
"FRCH",2019-04-29 22:15:00,190.11759732345,144.039920412677,167.078758868064
"FRCH",2019-04-29 22:30:00,190.11759732345,136.954526036881,163.536061680165
"FRCH",2019-04-29 22:45:00,184.53581156163,133.411828848982,158.973820205306
"FRCH",2019-04-29 23:00:00,180.81462105375,128.097783067135,154.456202060442
"FRCH",2019-04-29 23:15:00,173.372240037989,124.555085879237,148.963662958613
"FRCH",2019-04-29 23:30:00,175.23283529193,129.869131661084,152.550983476507
"FRCH",2019-04-29 23:45:00,182.67521630769,133.411828848982,158.043522578336
"FRCH",2019-04-30 00:00:00,184.53581156163,131.640480255033,158.088145908332
"FRCH",2019-04-30 00:15:00,178.95402579981,129.869131661084,154.411578730447
"FRCH",2019-04-30 00:30:00,177.093430545869,133.411828848982,155.252629697426
"FRCH",2019-04-30 00:45:00,175.23283529193,129.869131661084,152.550983476507
"FRCH",2019-04-30 01:00:00,173.372240037989,128.097783067135,150.735011552562
"FRCH",2019-04-30 01:15:00,175.23283529193,126.326434473186,150.779634882558
"FRCH",2019-04-30 01:30:00,173.372240037989,124.555085879237,148.963662958613
"FRCH",2019-04-30 01:45:00,169.651049530109,121.012388691339,145.331719110724
"FRCH",2019-04-30 02:00:00,165.929859022229,119.24104009739,142.585449559809
"FRCH",2019-04-30 02:15:00,169.651049530109,122.783737285288,146.217393407698
"FRCH",2019-04-30 02:30:00,169.651049530109,121.012388691339,145.331719110724
"FRCH",2019-04-30 02:45:00,164.069263768289,121.012388691339,142.540826229814
"FRCH",2019-04-30 03:00:00,162.208668514349,117.46969150344,139.839180008895
"FRCH",2019-04-30 03:15:00,162.208668514349,119.24104009739,140.724854305869
"FRCH",2019-04-30 03:30:00,165.929859022229,117.46969150344,141.699775262835
"FRCH",2019-04-30 03:45:00,165.929859022229,122.783737285288,144.356798153758
"FRCH",2019-04-30 04:00:00,162.208668514349,117.46969150344,139.839180008895
"FRCH",2019-04-30 04:15:00,164.069263768289,121.012388691339,142.540826229814
"FRCH",2019-04-30 04:30:00,173.372240037989,124.555085879237,148.963662958613
"FRCH",2019-04-30 04:45:00,165.929859022229,122.783737285288,144.356798153758
"FRCH",2019-04-30 05:00:00,165.929859022229,121.012388691339,143.471123856784
"FRCH",2019-04-30 05:15:00,173.372240037989,126.326434473186,149.849337255588
"FRCH",2019-04-30 05:30:00,173.372240037989,128.097783067135,150.735011552562
"FRCH",2019-04-30 05:45:00,177.093430545869,131.640480255033,154.366955400451
"FRCH",2019-04-30 06:00:00,178.95402579981,133.411828848982,156.182927324396
"FRCH",2019-04-30 06:15:00,182.67521630769,136.954526036881,159.814871172285
"FRCH",2019-04-30 06:30:00,186.39640681557,133.411828848982,159.904117832276
"FRCH",2019-04-30 06:45:00,180.81462105375,135.183177442932,157.998899248341
"FRCH",2019-04-30 07:00:00,184.53581156163,135.183177442932,159.859494502281
"FRCH",2019-04-30 07:15:00,188.25700206951,136.954526036881,162.605764053195
"FRCH",2019-04-30 07:30:00,186.39640681557,138.72587463083,162.5611407232
