"","date","GPP.daily","GPP.daily.sd","ER.daily","ER.daily.sd","K600.daily","K600.daily.sd","warnings","errors"
"1",2021-05-18,NA,NA,NA,NA,NA,NA,"overall warnings","data don't start when expected"
"2",2021-05-19,-0.546350552347948,0.262372960805406,-6.21877436706193,1.0716764087791,4.44370989806357,0.654332133614688,"overall warnings",""
"3",2021-05-20,-0.235326155590865,0.240255543473668,-7.36191248337621,0.874954625606688,4.70326003325764,0.564537555423742,"overall warnings",""
"4",2021-05-21,-0.977933734019062,0.256066676323392,-6.6784178395071,1.2470222069363,4.83138152580928,0.750077305579974,"overall warnings",""
"5",2021-05-22,-0.344989776821179,0.203022839718224,-4.33037978792031,0.987182498851577,4.44170648630794,0.66486733634008,"overall warnings",""
"6",2021-05-23,-0.320244752942328,0.252017604779417,-4.25851831466326,0.745241473535547,3.99963734629257,0.61002042093817,"overall warnings",""
"7",2021-05-24,-2.21904255522562,0.351315707422435,-3.96666278896377,1.4565830607161,2.31791800594315,0.769575107640068,"overall warnings",""
"8",2021-05-25,0.365359959916776,0.270363610081022,-11.6900706060464,1.32362489407035,5.73730723450915,0.610985084274497,"overall warnings",""
"9",2021-05-26,0.666419755688512,0.187336878780316,-10.9065800927459,1.02435730184555,5.26843804790319,0.515072984418805,"overall warnings",""
"10",2021-05-27,-0.127393989667404,0.229012835885096,-11.0674172772316,1.8695693314294,5.40500907836605,0.804730450867588,"overall warnings",""
"11",2021-05-28,0.996905271293732,0.277669917085314,-9.8413807379196,1.84862542191723,4.8604005405493,0.834871521057614,"overall warnings",""
"12",2021-05-29,0.6002044347642,0.243070449349224,-11.7807553061791,1.49872294159725,5.19100716335829,0.702806879200918,"overall warnings",""
"13",2021-05-30,0.510615100242143,0.23046329970176,-10.7944377554948,0.885813640292122,5.11237206183319,0.4417041835547,"overall warnings",""
"14",2021-05-31,1.14105687302136,0.224442078253754,-11.9782100326585,1.21203108767827,5.532098482032,0.597172665190424,"overall warnings",""
"15",2021-06-01,0.723361317534095,0.20309634800425,-8.92586995509535,1.21503388690628,4.35778080094652,0.598991462116656,"overall warnings",""
"16",2021-06-02,1.41679814209053,0.278124512356697,-11.7039951472357,1.15703333301196,5.51349350613835,0.509161860407947,"overall warnings",""
"17",2021-06-03,-0.13725465171334,0.26631916777466,-7.5586927911745,1.28954936670297,3.39125593562763,0.544212488213124,"overall warnings",""
"18",2021-06-04,-0.203264230702335,0.281478114146404,-7.3567188055915,1.11464900747108,3.94745891729011,0.508378566682856,"overall warnings",""
"19",2021-06-05,0.811953620954857,0.260601215336114,-8.10048565550446,0.946276435013484,3.75698528667511,0.453093139778852,"overall warnings",""
"20",2021-06-06,0.296115763593786,0.237214633969702,-5.98359936831267,1.06497667956245,2.96829367209377,0.512278834674574,"overall warnings",""
"21",2021-06-07,1.30640094784554,0.216525871412059,-6.76379569091695,0.619245921316202,4.14205748095586,0.410875426887251,"overall warnings",""
"22",2021-06-08,1.44949042390336,0.262570250929307,-7.65345684845617,1.00862123019962,4.67272419213407,0.635077034863926,"overall warnings",""
"23",2021-06-09,1.68636881071369,0.288677402829985,-9.68781062982663,0.983588660900665,6.08664281313756,0.620041098056729,"overall warnings",""
"24",2021-06-10,2.2254037017329,0.287786247585653,-8.93450866591963,0.75719456063671,6.02919759930874,0.504950518908131,"overall warnings",""
"25",2021-06-11,2.04784093623753,0.266066880144757,-5.94960589583905,0.652509384425286,4.26599306301457,0.476968608431871,"overall warnings",""
"26",2021-06-12,2.2066190439594,0.304472609000041,-7.69132410390258,0.657156324366866,4.5358301896296,0.444307577867112,"overall warnings",""
"27",2021-06-13,2.72137994736956,0.268362965879473,-7.40734039796025,0.636030326332976,5.27209260632571,0.447913183490516,"overall warnings",""
"28",2021-06-14,2.86671132711754,0.308074304359491,-7.14948141306502,0.58688598214332,5.35761519725059,0.428380937637148,"overall warnings",""
"29",2021-06-15,3.15494881360088,0.311422589741308,-7.43025898638104,0.597770085735984,5.00199201711375,0.402052541100323,"overall warnings",""
"30",2021-06-16,2.83477166766031,0.271729092711109,-6.10822817791046,0.500139365588019,4.47019916873618,0.373590831049293,"overall warnings",""
"31",2021-06-17,2.46698907263572,0.251793444323499,-7.56078704725603,0.630881417027566,5.68664032448157,0.468653580792468,"overall warnings",""
"32",2021-06-18,4.22446455959349,0.258399817922819,-6.70209898781613,0.386392506053652,4.90250443110679,0.312255739032391,"overall warnings",""
"33",2021-06-19,0.644812650719559,0.263480269143931,-3.01866674874962,0.792360561414552,3.27391543211676,0.637955799407168,"overall warnings",""
"34",2021-06-20,3.842323938802,0.252035274313935,-6.91461168340661,0.42665228532937,5.18131496176755,0.333679833120609,"overall warnings",""
"35",2021-06-21,2.50377957284321,0.31043017128357,-5.7830953453417,0.645359196819876,4.74282843367389,0.482909343142719,"overall warnings",""
"36",2021-06-22,3.05405514537582,0.278099459929128,-5.40973741072648,0.457343301472623,3.9156669333335,0.383470761070041,"overall warnings",""
"37",2021-06-23,4.8531079824023,0.300150608116034,-8.51229066018498,0.464150160056042,5.25651819442432,0.330614176002103,"overall warnings",""
"38",2021-06-24,3.75920848157388,0.251294896647194,-7.38508514717888,0.414716416796537,5.24164380539014,0.299019369064243,"overall warnings",""
"39",2021-06-25,4.40521875354786,0.296688487054028,-6.22706296099925,0.444395832323464,5.17699561582754,0.36569286611945,"overall warnings",""
"40",2021-06-26,4.10487748546355,0.319711567068628,-6.22402232411055,0.475082970213177,5.12411767180116,0.350777005118366,"overall warnings",""
