"date","GPP","GPP.lower","GPP.upper","ER","ER.lower","ER.upper","msgs.fit","warnings","errors"
2019-05-14,NA,NA,NA,NA,NA,NA,"w     E","",""
2019-05-15,0.0134000360440547,0.000713375409556456,0.0836019354916811,-0.00777322757848196,-0.0343254086613354,-0.000296544446638672,"w      ","",""
2019-05-16,0.0149036224155224,0.000230509200981781,0.0973268720290704,-0.00765149254876008,-0.0404641158546592,-0.000701240999490127,"w      ","",""
2019-05-17,0.0185244666894573,0.0010214462622066,0.0815999686600244,-0.00918623653458524,-0.0447485074703258,-0.000484975228869892,"w      ","",""
2019-05-18,0.00981526996720102,0.000257476602211147,0.0565306007055929,-0.00764300279926814,-0.0465483924313115,-0.000370528142084302,"w      ","",""
2019-05-19,0.01617404504249,0.00120535805900515,0.0852949320281524,-0.00741088668765735,-0.0406642212707848,-0.000488407466483994,"w      ","",""
2019-05-20,0.0335450327127648,0.00138505355976303,0.132698965909239,-0.00946158898201531,-0.0425107823243362,-0.000752437046689299,"w      ","",""
2019-05-21,0.0252426874126745,0.00154692090382975,0.124668523819701,-0.00723377617067672,-0.0424512006728869,-0.000749034821134112,"w      ","",""
2019-05-22,0.0277356854082433,0.00118020451887328,0.144264855960648,-0.0145569821422326,-0.0547488432412439,-0.00161571310240364,"w      ","",""
2019-05-23,0.0186700277537503,0.00219472892944172,0.0846074532865085,-0.0136299815926128,-0.0589386100379975,-0.00116330935956348,"w      ","",""
2019-05-24,0.0245420854401175,0.00166783882949457,0.104479543600521,-0.017509056947155,-0.0837253953383487,-0.000273694327492153,"w      ","",""
2019-05-25,0.0197423425473615,0.000386444620433967,0.0964434854531777,-0.0171801818187234,-0.0749958061963262,-0.00215210590270032,"w      ","",""
2019-05-26,0.0153661974605026,0.0019614690545338,0.0818296917644526,-0.0108042354779005,-0.0650346523662954,-0.000212191364075562,"w      ","",""
2019-05-27,0.0191497661398331,0.00157301261475161,0.10218735684173,-0.00558198164716046,-0.0459614890920218,-1.76124039666572e-05,"w      ","",""
2019-05-28,0.0173591429242309,0.000195689492948677,0.105059364767865,-0.008127832916908,-0.0531415151008767,-5.43781379058249e-05,"w      ","",""
2019-05-29,0.0214518254528059,0.00115282406306509,0.123855364692781,-0.00824500856172561,-0.0499778813602277,-0.000400726106605854,"w      ","",""
2019-05-30,NA,NA,NA,NA,NA,NA,"w     E","",""
2019-05-31,0.0200474003196135,0.00220016631401809,0.0859711210308119,-0.0190987620162493,-0.102894224390647,-0.000461001033769016,"w      ","",""
2019-06-01,0.0468092632721617,0.00172246559521382,0.218451624930408,-0.0209110314971651,-0.102630335324376,-0.00159511999554442,"w      ","",""
2019-06-02,0.0244658942872223,0.000320263488732847,0.112269074274081,-0.00945377751836374,-0.0491203721763878,-0.000596336050084439,"w      ","",""
2019-06-03,0.0364382702475706,0.00343144076094625,0.205502286479056,-0.00759771249899603,-0.0408929963622737,-0.000383477875736434,"w      ","",""
2019-06-04,0.0398515732448226,0.00213526427177381,0.188477051238458,-0.0115035284099802,-0.0613722722312041,-0.000772809998880572,"w      ","",""
2019-06-05,0.0330783202367192,0.00179491910023401,0.122423206460044,-0.0114863661255629,-0.0566762727551856,-0.00100161899959136,"w      ","",""
2019-06-06,0.0348622079368615,0.000876482333562123,0.216915257615521,-0.0170616683637723,-0.0879512194136319,-0.00136866087832962,"w      ","",""
2019-06-07,0.0210418164520923,0.00129029792950993,0.0869927610209724,-0.0104922568281184,-0.0605146492090771,-0.000260946502273633,"w      ","",""
2019-06-08,0.0353578676585343,0.00115904713836622,0.152088008393598,-0.0131922151507666,-0.0542900007452593,-0.00153827499272334,"w      ","",""
2019-06-09,0.0193011641050902,0.000969489402685073,0.0975004569981549,-0.0100816185512987,-0.0530466594222625,-0.000546639174148789,"w      ","",""
2019-06-10,0.0240710283525684,0.00173949844382468,0.122586695665953,-0.015019349169968,-0.0764068923259554,-0.000687951522521902,"w      ","",""
2019-06-11,0.0286640051648767,0.00113258245447091,0.126644648638376,-0.0126834429347398,-0.0711312124569616,-0.000550194221133244,"w      ","",""
2019-06-12,0.109980097913957,0.00734616864984692,0.414839147358352,-0.00839717294642765,-0.0635778162728649,-0.00100556753143632,"w      ","",""
2019-06-13,0.128342123356793,0.012106675947383,0.402823401752785,-0.014237355785831,-0.0711154661698678,-0.000230421262141985,"w      ","",""
2019-06-14,NA,NA,NA,NA,NA,NA,"w     E","",""
2019-06-15,0.0503435361544398,0.000413265133482217,0.251747583960987,-0.0115670316948092,-0.0844576275018425,-4.06573308383223e-05,"w      ","",""
2019-06-16,0.209177104473864,0.00392159897223597,0.622253700883844,-0.010631443762681,-0.0570424733706328,-9.96855661440941e-05,"w      ","",""
2019-06-17,0.109979008851807,0.00762650991619795,0.383987109464083,-0.0196351859575494,-0.079035428864419,-0.00132902480184547,"w      ","",""
2019-06-18,0.0232982966759596,0.000537157058840708,0.143657570254496,-0.0149811985022756,-0.0923811266610696,-0.000724415950271507,"w      ","",""
2019-06-19,0.135657898885952,0.00767063266875476,0.50845916106452,-0.0100722137255463,-0.0669932841291491,-1.60913633411479e-05,"w      ","",""
2019-06-20,0.710495186646029,0.251380661851474,1.22717561935393,-0.0115714979911805,-0.0595383638554943,-0.000621356754655696,"w      ","",""
2019-06-21,0.32468409986157,0.0898307364993735,0.687953617228935,-0.0144864642346016,-0.0624053941903829,-0.00098837801399929,"w      ","",""
2019-06-22,0.0448906579528293,0.00615592105289867,0.176115813044198,-0.0180976334045834,-0.0864217150164915,-0.00280574929359205,"w      ","",""
