"date","GPP","GPP.lower","GPP.upper","ER","ER.lower","ER.upper","msgs.fit","warnings","errors"
2019-05-31,NA,NA,NA,NA,NA,NA,"w     E","",""
2019-06-01,0.0409314527062579,0.00125652211714631,0.201872281636381,-0.452442442224865,-1.19579005654519,-0.0459990884013603,"w      ","",""
2019-06-02,0.102619677080341,0.00577168159838988,0.344739988945485,-3.29540288626389,-4.89994883559756,-1.80009129804225,"w      ","",""
2019-06-03,0.0933922673958182,0.00431616007279991,0.277981426128479,-5.64540775068204,-8.0944731195006,-3.52001561077312,"w      ","",""
2019-06-04,0.118851961389729,0.007029150714072,0.338508093449865,-4.29485688648241,-6.07096734691214,-2.50910791854947,"w      ","",""
2019-06-05,0.138827066012953,0.00824529849750002,0.390188611971424,-3.62845378186921,-5.30374025629555,-1.95568666664209,"w      ","",""
2019-06-06,0.13579574108982,0.00829048514051853,0.397327135634892,-3.72181340094623,-5.41762728715967,-2.09350478855146,"w      ","",""
2019-06-07,0.129756660384894,0.00942679376720923,0.376522421791971,-3.40154544073653,-5.00821078444508,-1.93168941396903,"w      ","",""
2019-06-08,0.141477278939883,0.0101139560696442,0.378985117862883,-3.44065769256846,-4.91503557698354,-2.01718964065724,"w      ","",""
2019-06-09,0.13491915760265,0.00834483280949258,0.379945568501333,-3.11781565633494,-4.5737003369074,-1.7649462517981,"w      ","",""
2019-06-10,0.144680278094393,0.00480720244228686,0.390505712185276,-3.06205537871481,-4.4378374041058,-1.75764888054638,"w      ","",""
2019-06-11,0.135899877027568,0.00714414031241088,0.373786961878551,-3.14176968646293,-4.68911765273709,-1.51592443406428,"w      ","",""
2019-06-12,0.175630190541416,0.0123261810665226,0.435482498009275,-3.27409892816282,-4.75402199706449,-1.86614882442256,"w      ","",""
2019-06-13,NA,NA,NA,NA,NA,NA,"w     E","",""
2019-06-14,0.161445322183417,0.0138668733066072,0.405762480477565,-3.20907250459757,-4.60512198305959,-1.8019216542942,"w      ","",""
2019-06-15,0.209092044150613,0.0142509864904563,0.522952586883364,-3.27558809140408,-4.86694433136338,-1.80579021695072,"w      ","",""
2019-06-16,0.174228828904399,0.0136505879622835,0.446143588159806,-3.18643158788128,-4.57585598680715,-1.8230429337276,"w      ","",""
2019-06-17,0.133042336697999,0.00956516216669705,0.352986634484965,-3.04835959406463,-4.51505877500291,-1.58953627909203,"w      ","",""
2019-06-18,0.214040734691245,0.012791555617964,0.55780362624303,-3.25423816578489,-4.75734049333948,-1.76323018258558,"w      ","",""
2019-06-19,0.178316023928566,0.017984295970368,0.447604495067499,-2.55700525252065,-3.72447509662131,-1.37169099571749,"w      ","",""
2019-06-20,0.207764234322449,0.0189606771086251,0.452098646265296,-2.53438512414885,-3.6840214593885,-1.32430078384104,"w      ","",""
2019-06-21,0.224523620977507,0.022458480282845,0.474785073395252,-2.34491177314169,-3.40985102354821,-1.36716761500004,"w      ","",""
2019-06-22,0.409970389278701,0.105857072240762,0.739143629920721,-2.40596975713381,-3.50178012233115,-1.27928874823559,"w      ","",""
2019-06-23,0.480580923950736,0.0975831164718691,0.87094592309178,-3.17847399039753,-4.64578711508133,-1.72067782703666,"w      ","",""
2019-06-24,0.380009367067507,0.0641284701159128,0.71414793761936,-2.25495051241333,-3.36062650973692,-1.21527030085617,"w      ","",""
2019-06-25,0.372525196035529,0.085603172807405,0.663312824554409,-1.73757042953564,-2.6614053089293,-0.858665080951666,"w      ","",""
2019-06-26,0.329614788269258,0.0748842139540402,0.583788487823811,-1.57449850250121,-2.37336701561692,-0.806245284541241,"w      ","",""
2019-06-27,NA,NA,NA,NA,NA,NA,"w     E","",""
2019-06-28,0.600305514373645,0.291498970573048,0.948942725566104,-1.24792453413406,-1.88520274720533,-0.631019631690646,"w      ","",""
2019-06-29,1.11134546064559,0.704738912912154,1.52296240063523,-1.5574873456021,-2.22692549132065,-0.885673414375913,"w      ","",""
2019-06-30,2.1819696712613,1.62367088659888,2.67629091850948,-2.87249290526874,-3.61085468177664,-2.06116905558735,"w      ","",""
2019-07-01,1.33541213607706,0.888909476894075,1.78180235151079,-1.43380905666372,-2.09507647286657,-0.802169608973943,"w      ","",""
2019-07-02,1.24307559895364,0.86112724440565,1.63235462314759,-1.18282482014837,-1.72375030644922,-0.579761046276403,"w      ","",""
2019-07-03,2.9359323175044,2.34914915124944,3.53328068142576,-2.57887221298486,-3.23699927726353,-1.89892263001358,"w      ","",""
2019-07-04,2.68666032885941,2.16183092393089,3.22079105984202,-2.53133484480807,-3.22650195423586,-1.89307695193851,"w      ","",""
2019-07-05,0.950500955168092,0.672495964518785,1.24401627319968,-0.892103581537287,-1.41342580608451,-0.411423249959721,"w      ","",""
2019-07-06,1.36689729133211,1.03380925643036,1.71070432635383,-1.07415667112357,-1.58124321443843,-0.577756153599477,"w      ","",""
2019-07-07,3.49654525452283,2.86165425011173,4.12951182503187,-2.75102470127323,-3.46597470960133,-2.07006453523939,"w      ","",""
2019-07-08,4.31625803984338,3.62063586236967,5.01027609235933,-3.41018300578576,-4.08889761971999,-2.74564556539525,"w      ","",""
2019-07-09,3.56799993468995,3.0204922271148,4.07781462844975,-2.32285931843129,-2.8956361775957,-1.68711223347157,"w      ","",""
2019-07-10,4.44182192800822,3.81747874198342,5.05211749093765,-3.17300246006888,-3.79891290057703,-2.52351767438865,"w      ","",""
2019-07-11,4.46300534186359,3.88709196836677,5.02065462076213,-3.74632070505191,-4.38123034205089,-3.10162012669695,"w      ","",""
2019-07-12,NA,NA,NA,NA,NA,NA,"w     E","",""
